id,class_room_id,dayoftheWeek,from,to
540,133,thu,10:30,11:45
541,128,mon,16:30,17:45
542,128,fri,16:30,17:45
543,130,mon,13:30,14:45
544,130,fri,12:00,13:15
545,127,tue,13:30,14:45
546,127,thu,13:30,14:45
547,126,tue,16:30,17:45
548,126,thu,16:30,17:45
549,128,mon,12:00,13:15
550,128,fri,10:30,11:45
551,126,tue,10:30,11:45
552,126,thu,10:30,11:45
553,133,wed,15:00,16:15
554,133,fri,15:00,16:15
555,126,tue,15:00,16:15
556,126,thu,15:00,16:15
557,129,wed,15:00,16:15
558,129,fri,15:00,16:15
559,130,mon,09:00,10:15
560,130,wed,10:30,11:45
561,121,wed,13:30,14:45
562,121,fri,13:30,14:45
563,129,tue,15:00,15:50
564,129,thu,15:00,15:50
565,130,wed,15:00,16:15
566,130,fri,15:00,16:15
567,128,tue,16:30,17:45
568,128,thu,16:30,17:45
569,127,mon,10:30,11:45
570,127,wed,12:00,13:15
571,127,tue,10:30,11:45
572,127,thu,10:30,11:45
573,127,tue,16:30,17:45
574,127,thu,16:30,17:45
575,132,tue,10:30,11:45
576,132,thu,10:30,11:45
577,122,wed,15:00,16:15
578,122,fri,15:00,16:15
579,126,tue,13:30,14:45
580,126,thu,13:30,14:45
581,134,mon,15:00,16:15
582,134,wed,16:30,17:45
583,121,tue,15:00,16:15
584,121,thu,15:00,16:15
585,128,wed,18:30,21:15
586,128,mon,09:00,10:15
587,128,wed,10:30,11:45
588,128,mon,15:00,16:15
589,128,wed,16:30,17:45
590,120,mon,13:30,14:45
591,120,fri,12:00,13:15
592,122,mon,15:00,16:15
593,122,wed,16:30,17:45
594,121,tue,09:00,10:15
595,121,thu,09:00,10:15
596,120,tue,13:30,14:45
597,120,thu,13:30,14:45
598,134,tue,12:00,13:15
599,134,thu,12:00,13:15
600,134,tue,15:00,17:00
601,135,wed,16:30,19:15
602,70,mon,15:00,16:15
603,70,wed,16:30,17:45
604,64,wed,09:00,10:15
605,64,fri,09:00,10:15
606,70,mon,09:00,10:15
607,70,wed,10:30,11:45
608,80,mon,13:30,14:45
609,80,fri,12:00,13:15
610,68,tue,12:00,13:15
611,68,thu,12:00,13:15
612,2,tue,13:30,14:45
613,2,thu,13:30,14:45
614,71,mon,10:30,11:45
615,71,wed,12:00,13:15
616,73,tue,16:30,17:45
617,73,thu,16:30,17:45
618,66,wed,15:00,16:15
619,66,fri,15:00,16:15
620,79,tue,12:00,13:15
621,79,thu,12:00,13:15
622,74,tue,15:00,16:15
623,74,thu,15:00,16:15
624,71,wed,13:30,14:45
625,71,fri,13:30,14:45
626,73,tue,10:30,11:45
627,73,thu,10:30,11:45
628,79,mon,12:00,13:15
629,79,fri,10:30,11:45
630,80,tue,15:00,16:15
631,80,thu,15:00,16:15
632,73,wed,15:00,16:15
633,73,fri,15:00,16:15
634,60,tue,10:30,11:45
635,60,thu,10:30,11:45
636,73,wed,13:30,14:45
637,73,fri,13:30,14:45
638,62,mon,13:30,14:45
639,62,fri,12:00,13:15
640,62,tue,13:30,14:45
641,62,thu,13:30,14:45
642,84,tue,14:00,17:00
643,76,mon,10:30,11:45
644,76,wed,12:00,13:15
645,76,mon,15:00,16:15
646,76,wed,16:30,17:45
647,99,tue,10:30,11:45
648,99,thu,10:30,11:45
649,98,tue,13:30,14:45
650,98,thu,13:30,14:45
651,108,wed,13:30,14:45
652,108,fri,13:30,14:45
653,98,tue,10:30,11:45
654,98,thu,10:30,11:45
655,98,tue,15:00,16:15
656,98,thu,15:00,16:15
657,98,mon,10:30,11:45
658,98,wed,12:00,13:15
659,142,mon,13:30,16:15
660,140,mon,13:30,16:15
661,142,mon,16:30,19:15
662,140,mon,16:30,19:15
663,142,tue,13:30,16:15
664,140,tue,13:30,16:15
665,142,tue,16:30,19:15
666,140,tue,16:30,19:15
667,142,wed,13:30,16:15
668,140,wed,13:30,16:15
669,142,thu,13:30,16:15
670,140,thu,13:30,16:15
671,142,thu,16:30,19:15
672,140,thu,16:30,19:15
673,142,fri,13:30,16:15
674,140,fri,13:30,16:15
675,142,fri,16:30,19:15
676,140,fri,16:30,19:15
677,94,mon,09:00,10:15
678,94,wed,10:30,11:45
679,143,tue,15:00,18:50
680,143,thu,15:00,18:50
681,96,mon,12:00,13:15
682,96,fri,10:30,11:45
683,109,wed,09:00,10:15
684,109,fri,09:00,10:15
685,145,mon,15:00,18:50
686,102,tue,09:00,10:15
687,102,thu,09:00,10:15
688,110,tue,09:00,10:15
689,110,thu,09:00,10:15
690,110,tue,12:00,13:15
691,110,thu,12:00,13:15
692,141,mon,15:00,18:50
693,141,tue,15:00,18:50
694,141,thu,15:00,18:50
695,141,fri,15:00,18:50
696,94,tue,12:00,13:15
697,94,thu,12:00,13:15
698,144,mon,15:00,18:50
699,144,tue,15:00,18:50
700,144,thu,15:00,18:50
701,144,fri,15:00,18:50
702,100,wed,13:30,14:45
703,100,fri,13:30,14:45
704,93,mon,13:30,17:15
705,93,tue,15:00,15:50
706,94,tue,09:00,10:15
707,94,thu,09:00,10:15
708,108,tue,13:30,14:45
709,108,thu,13:30,14:45
710,43,mon,15:00,16:15
711,43,wed,16:30,17:45
712,43,mon,10:30,11:45
713,43,wed,12:00,13:15
714,41,mon,10:30,11:45
715,41,wed,12:00,13:15
716,43,wed,13:30,14:45
717,43,fri,13:30,14:45
718,40,tue,12:00,13:15
719,40,thu,12:00,13:15
720,126,mon,15:00,16:15
